event_type,total_count,success_count,failure_count,pending_count,evaluated_count,success_rate,failure_rate,pending_rate,raw_learned_adjustment,confidence_multiplier,learned_event_score_adjustment,learning_label,learning_reason,minimum_required_evaluated_count,market_adjusted_success_count,market_adjusted_failure_count,market_adjusted_pending_count,market_adjusted_evaluated_count,market_adjusted_success_rate,social_rows,high_attention_count,rumor_noise_count,risk_noise_count,avg_social_attention_score,avg_rumor_noise_score,avg_risk_noise_score
bond_with_warrant,9,0,0,9,0,0,0,1.0,0,0.0,0.0,hold_insufficient_data,평가 완료 데이터가 부족하여 자동 조정을 보류합니다.,5,0,0,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bonus_issue,3,0,0,3,0,0,0,1.0,0,0.0,0.0,hold_insufficient_data,평가 완료 데이터가 부족하여 자동 조정을 보류합니다.,5,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
convertible_bond,128,0,0,128,0,0,0,1.0,0,0.0,0.0,hold_insufficient_data,평가 완료 데이터가 부족하여 자동 조정을 보류합니다.,5,0,0,118,0,0,1.0,0.0,0.0,1.0,3.5,0.0,9.0
disclosure_violation,31,0,0,31,0,0,0,1.0,0,0.0,0.0,hold_insufficient_data,평가 완료 데이터가 부족하여 자동 조정을 보류합니다.,5,0,0,26,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
earnings_guidance,2,0,0,2,0,0,0,1.0,0,0.0,0.0,hold_insufficient_data,평가 완료 데이터가 부족하여 자동 조정을 보류합니다.,5,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
investment_decision,72,0,0,72,0,0,0,1.0,0,0.0,0.0,hold_insufficient_data,평가 완료 데이터가 부족하여 자동 조정을 보류합니다.,5,0,0,68,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lawsuit,69,0,0,69,0,0,0,1.0,0,0.0,0.0,hold_insufficient_data,평가 완료 데이터가 부족하여 자동 조정을 보류합니다.,5,0,0,66,0,0,1.0,0.0,0.0,1.0,5.5,0.0,3.0
major_shareholder_change,184,0,0,184,0,0,0,1.0,0,0.0,0.0,hold_insufficient_data,평가 완료 데이터가 부족하여 자동 조정을 보류합니다.,5,0,0,179,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
merger,37,0,0,37,0,0,0,1.0,0,0.0,0.0,hold_insufficient_data,평가 완료 데이터가 부족하여 자동 조정을 보류합니다.,5,0,0,37,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paid_in_capital_increase,142,0,0,142,0,0,0,1.0,0,0.0,0.0,hold_insufficient_data,평가 완료 데이터가 부족하여 자동 조정을 보류합니다.,5,0,0,135,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spin_off,8,0,0,8,0,0,0,1.0,0,0.0,0.0,hold_insufficient_data,평가 완료 데이터가 부족하여 자동 조정을 보류합니다.,5,0,0,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
supply_contract,125,0,0,125,0,0,0,1.0,0,0.0,0.0,hold_insufficient_data,평가 완료 데이터가 부족하여 자동 조정을 보류합니다.,5,0,0,116,0,0,1.0,1.0,0.0,0.0,19.5,0.0,0.0
